Block,Center Coord,
100002,|[40.70136964493662,-74.01319312934734]|
100003,|[40.702776348684054,-74.01477036294423]|
100004,|[40.70209764261449,-74.01216574151964]|
100005,|[40.70251784160732,-74.01075456701493]|
100007,|[40.70333489489565,-74.01117439425647]|
100008,|[40.70300242665595,-74.01245104217645]|
100009,|[40.702830705718824,-74.01381925770264]|
100010,|[40.70372661871528,-74.0126810668178]|
100011,|[40.704637781724415,-74.01239363301056]|
100012,|[40.703792097549794,-74.01372134224775]|
100013,|[40.70523290106924,-74.01428833193528]|
100015,|[40.70603426797763,-74.01564067513517]|
100016,|[40.709602162869025,-74.01715323898662]|
100017,|[40.70718283225193,-74.0152432242133]|
100018,|[40.70737121841548,-74.01440598918569]|
100019,|[40.70733702941461,-74.01358573572243]|
100020,|[40.70634279434965,-74.0134219087526]|
100021,|[40.70717249097435,-74.01277686936267]|
100022,|[40.70568901490785,-74.01270614365052]|
100023,|[40.70682486011756,-74.01161204215248]|
100024,|[40.70550365641542,-74.01190638410495]|
100025,|[40.70539874358924,-74.01111185319319]|
100026,|[40.70626297538344,-74.01033453084423]|
100027,|[40.705502078322795,-74.00953038647577]|
100028,|[40.70507518307214,-74.00928707503166]|
100029,|[40.70423022545157,-74.01091344113074]|
100030,|[40.7038048927177,-74.01001301424851]|
100031,|[40.70474383013087,-74.00861632285967]|
100032,|[40.703117984698764,-74.00924884263361]|
100033,|[40.704330163964116,-74.00806228131714]|
100034,|[40.70347575989291,-74.00814741470907]|
100035,|[40.703898462308686,-74.0075456930252]|
100036,|[40.7034052750174,-74.00631389394633]|
100037,|[40.704921583149215,-74.0060132310748]|
100038,|[40.70535012955339,-74.00659378586761]|
100039,|[40.705764113049526,-74.0072644742239]|
100040,|[40.70617515022201,-74.00852990360703]|
100041,|[40.70662498964047,-74.00810422220576]|
100042,|[40.70700540929627,-74.0077075533406]|
100043,|[40.706988310575156,-74.0098983544413]|
100044,|[40.707696835897366,-74.0095343042102]|
100046,|[40.70765554466303,-74.01101833390138]|
100047,|[40.708155109417106,-74.01056026424223]|
100048,|[40.708584214575865,-74.01007052242255]|
